# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954608.552713871002197,0.00673,0.00041,0.00029,0.00191,0.00027,0.00219,0.01180
1664954608.652720212936401,0.00497,0.00033,0.00099,0.00273,0.00208,0.00297,0.01406
1664954608.752724647521973,0.00850,0.00033,0.00134,0.00166,0.00055,0.00378,0.01615
1664954608.852723836898804,0.00438,0.00037,0.00089,0.00134,0.00014,0.00225,0.00937
1664954608.952727317810059,0.00665,0.00035,0.00048,0.00137,0.00130,0.00264,0.01278
1664954609.052736282348633,0.00497,0.00033,0.00174,0.00113,0.00059,0.00362,0.01237
1664954609.152735471725464,0.00598,0.00034,0.00039,0.00115,0.00025,0.00269,0.01080
1664954609.252734184265137,0.00675,0.00034,0.00044,0.00083,0.00064,0.00325,0.01226
1664954609.352732181549072,0.00615,0.00037,0.00087,0.00070,0.00112,0.00373,0.01294
1664954609.452732563018799,0.00662,0.00031,0.00069,0.00068,0.00020,0.00270,0.01121
1664954609.552735328674316,0.00568,0.00036,0.00111,0.00073,0.00018,0.00336,0.01142
1664954609.652729034423828,0.00640,0.00041,0.00061,0.00087,0.00064,0.00305,0.01198
1664954609.752733707427979,0.00407,0.00031,0.00069,0.00072,0.00058,0.00222,0.00860
1664954609.852740049362183,0.00538,0.00129,0.00075,0.00070,0.00039,0.00298,0.01148
1664954609.952733278274536,0.00730,0.00032,0.00077,0.00067,0.00016,0.00352,0.01274
1664954610.052741289138794,0.00636,0.00031,0.00071,0.00070,0.00101,0.00325,0.01234
1664954610.152751207351685,0.00484,0.00031,0.00201,0.00062,0.00190,0.00218,0.01187
1664954610.252761363983154,0.00762,0.00032,0.00186,0.00069,0.00155,0.00263,0.01470
1664954610.352757692337036,0.00957,0.00060,0.00104,0.00072,0.00023,0.00222,0.01440
1664954610.452763080596924,0.00561,0.00039,0.00047,0.00077,0.00380,0.00376,0.01480
1664954610.552766084671021,0.00749,0.00054,0.00051,0.00102,0.00242,0.00233,0.01431
1664954610.652760982513428,0.00429,0.00031,0.00098,0.00133,0.00003,0.00247,0.00941
1664954610.752765655517578,0.01185,0.00038,0.00150,0.00084,0.00509,0.00246,0.02213
1664954610.852769136428833,0.00724,0.00033,0.00089,0.00120,0.00012,0.00228,0.01206
1664954610.952771425247192,0.00424,0.00032,0.00045,0.00103,0.00028,0.00245,0.00876
1664954611.052773952484131,0.00801,0.00034,0.00075,0.00084,0.00021,0.00241,0.01255
1664954611.152772426605225,0.00593,0.00075,0.00109,0.00175,0.00020,0.00276,0.01248
1664954611.252770900726318,0.00626,0.00036,0.00057,0.00057,0.00009,0.00239,0.01025
